"pm2.5","pm10","nox","so2","co","o3"
33.75,134.75,26.95,NA,NA,NA
25.75,103.25,27.68,NA,NA,NA
25.25,96.5,21.95,NA,NA,NA
35,118.5,21.27,NA,NA,NA
37.25,130,18.85,NA,NA,NA
36,126.5,21.97,NA,NA,NA
31.25,98.75,28.4,NA,NA,NA
32.25,98.25,27.13,NA,NA,NA
28.5,81.5,42.6,NA,NA,NA
35.75,97,50.95,NA,NA,NA
47,114,63.15,NA,NA,NA
61.25,134,37.3,NA,NA,NA
63.25,132.25,34.12,NA,NA,NA
62,111.25,44,NA,NA,NA
61.25,105.5,34.95,NA,NA,NA
50,74,22.18,NA,NA,NA
51.75,104.25,17.82,NA,NA,NA
56.5,114,18.4,NA,NA,NA
38,88.75,26.12,NA,NA,NA
36,83.75,38.08,NA,NA,NA
40.75,100.75,51.15,NA,NA,NA
62.25,145.75,51.15,NA,NA,NA
88.5,196.25,39.2,NA,NA,NA
78.5,166.25,30.15,NA,NA,NA
68.25,138.5,26.55,NA,NA,NA
34.25,79,25.2,NA,NA,NA
19.25,26.5,23.68,NA,NA,NA
27.5,38.75,22.88,NA,NA,NA
43.25,83,22.87,NA,NA,NA
40.25,56.25,23.07,NA,NA,NA
40.5,66,25.02,NA,NA,NA
40.75,50,27.65,NA,NA,NA
42.5,41.5,38.62,NA,NA,NA
50.5,76.75,44.1,NA,NA,NA
70,125.25,114.75,NA,NA,NA
86,206.75,24.75,NA,NA,NA
54.5,222.75,21.63,NA,NA,NA
37.75,87.5,56.8,NA,NA,NA
36.5,129,15.48,NA,NA,NA
33,126.25,17.22,NA,NA,NA
20.5,47.25,24.65,NA,NA,NA
28.5,83.25,32.68,NA,NA,NA
26.25,78,44.48,NA,NA,NA
25.5,81,45.05,NA,NA,NA
27.75,57.75,38.75,NA,NA,NA
28.25,72,53.52,NA,NA,NA
38.25,122.25,33.97,NA,NA,NA
36.25,112.25,33.22,NA,NA,NA
37.75,83,36.5,NA,NA,NA
37.75,50.75,28.85,NA,NA,NA
39.5,64,31.35,NA,NA,NA
42.5,112.5,22.83,NA,NA,NA
44.25,62.25,22.32,NA,NA,NA
44,73.75,21.62,NA,NA,NA
37.25,48.25,28.03,NA,NA,NA
39,64,59.73,NA,NA,NA
38,84.25,62.27,NA,NA,NA
38.5,48,60.03,NA,NA,NA
40.75,45.25,61.68,NA,NA,NA
45.5,59.5,81.23,NA,NA,NA
43.5,50,121.8,NA,NA,NA
47.75,84.75,104.23,NA,NA,NA
45.5,70.75,95.85,NA,NA,NA
41.75,81.5,104.55,NA,NA,NA
50,111.75,179.4,NA,NA,NA
77.75,145.5,233.53,NA,NA,NA
74.75,132.5,195.2,NA,NA,NA
92.5,159.5,150.25,NA,NA,NA
150.25,239.25,69.38,NA,NA,NA
133.75,264.75,53.38,NA,NA,NA
103.5,276.25,85.73,NA,NA,NA
49.5,137.25,91.23,NA,NA,NA
74.5,241,47.05,NA,NA,NA
86.5,267.75,57.82,NA,NA,NA
100.5,259.5,52.9,NA,NA,NA
74.5,218,29.62,NA,NA,NA
60,175.5,18.23,NA,NA,NA
60,172.5,23.32,NA,NA,NA
57,147.75,27.95,NA,NA,NA
61.5,142,59.95,NA,NA,NA
67,173,64.83,NA,NA,NA
44.75,142,47.98,NA,NA,NA
46.75,215,47.9,NA,NA,NA
40.5,146.25,34.62,NA,NA,NA
32,102.75,20.3,NA,NA,NA
29,104.75,33.32,NA,NA,NA
32.75,94.75,58.15,NA,NA,NA
46.75,105,78.38,NA,NA,NA
59,109.25,48.62,NA,NA,NA
50.75,95,49.42,NA,NA,NA
50.25,101,79.32,NA,NA,NA
58,134,128.92,NA,NA,NA
71,151.75,100.93,NA,NA,NA
73.5,147.25,95.88,NA,NA,NA
85,197.25,50,NA,NA,NA
74.5,175.5,35.45,NA,NA,NA
70.75,190,31.8,NA,NA,NA
73.5,190,23.35,NA,NA,NA
61.75,157.25,28.5,NA,NA,NA
58.75,138,26.25,NA,NA,NA
60.25,126,21.5,NA,NA,NA
53.75,121.75,24.82,NA,NA,NA
62.25,187.5,39.47,NA,NA,NA
98,423.5,88.13,NA,NA,NA
52.75,241,135.4,NA,NA,NA
52.25,205.25,151.8,NA,NA,NA
59.5,173.25,129.27,NA,NA,NA
62.25,159.75,117.15,NA,NA,NA
48.25,124.75,85.67,NA,NA,NA
40.75,105.75,74.02,NA,NA,NA
39,81.75,50.03,NA,NA,NA
40,93,84.12,NA,NA,NA
35.5,85.25,65.42,NA,NA,NA
37.25,102,84.35,NA,NA,NA
40,118.5,68.5,NA,NA,NA
52.25,144,152.85,NA,NA,NA
66.75,206.25,200.02,NA,NA,NA
114.25,245.25,156.3,NA,NA,NA
154.5,311.5,109.48,NA,NA,NA
151.75,331.25,62.93,NA,NA,NA
99.25,268.25,61.55,NA,NA,NA
92,212.25,49.25,NA,NA,NA
90.75,192.25,41.95,NA,NA,NA
88.25,201.5,36.58,NA,NA,NA
79.75,166.75,32.82,NA,NA,NA
81,208.25,36.73,NA,NA,NA
69.25,269.5,42.7,NA,NA,NA
43.75,123.5,102.55,NA,NA,NA
38.5,68.5,89.53,NA,NA,NA
43.25,86.25,144,NA,NA,NA
80.25,188.25,250.73,NA,NA,NA
114,285.25,340.55,NA,NA,NA
116.75,306.75,309.45,NA,NA,NA
102.75,242.5,119.55,NA,NA,NA
83.75,170.25,69.15,NA,NA,NA
60.25,130.25,62.3,NA,NA,NA
50.75,130.25,53.98,NA,NA,NA
58,148.75,47.05,NA,NA,NA
66.25,170.5,21.7,NA,NA,NA
49.25,150.75,15.82,NA,NA,NA
41.25,220.25,28.35,NA,NA,NA
36.5,181.5,26.98,NA,NA,NA
40,158.75,28.9,NA,NA,NA
61.75,187,35.72,NA,NA,NA
54.5,168.5,37.95,NA,NA,NA
40.25,124.5,44.15,NA,NA,NA
41.5,125,44.43,NA,NA,NA
37,122.5,37.35,NA,NA,NA
46,137,25.35,NA,NA,NA
45,123.25,35.12,NA,NA,NA
46.5,127.25,35,NA,NA,NA
45.25,121.75,61.9,NA,NA,NA
51.5,149.5,56.2,NA,NA,NA
81.25,224.25,45.62,NA,NA,NA
97.25,265,49.45,NA,NA,NA
87,314.5,56.62,NA,NA,NA
89,294,25.78,NA,NA,NA
74,247.5,26.08,NA,NA,NA
74,232.75,20.03,NA,NA,NA
92,176.75,14.73,NA,NA,NA
22.5,73.25,19.65,NA,NA,NA
32.25,91.75,28.67,NA,NA,NA
46.75,124,57.75,NA,NA,NA
54.75,148.75,105.8,NA,NA,NA
71.75,151.75,92.1,NA,NA,NA
72,159.25,53.5,NA,NA,NA
86.25,187,49.23,NA,NA,NA
104.5,196,49.3,NA,NA,NA
105.25,188.75,43.62,NA,NA,NA
64.75,84,22.35,NA,NA,NA
47.75,27.75,24.85,NA,NA,NA
35.75,NA,22.08,NA,NA,NA
60.75,NA,21.43,NA,NA,NA
39,NA,20.75,NA,NA,NA
42.5,NA,33.6,NA,NA,NA
35.75,NA,39.95,NA,NA,NA
51.75,15.25,65.38,NA,NA,NA
65.75,58.75,111.7,NA,NA,NA
81.75,127.25,226.73,NA,NA,NA
96.5,176.5,263.87,NA,NA,NA
75.75,137.75,276.05,NA,NA,NA
79,163.25,270.4,NA,NA,NA
77.75,167.75,301.65,NA,NA,NA
87.5,201,295.97,NA,NA,NA
71.75,147.25,204.52,NA,NA,NA
67,134.75,201.5,NA,NA,NA
67.75,126.75,181.1,NA,NA,NA
83.25,146.75,214.47,NA,NA,NA
95,183.25,310.15,NA,NA,NA
127.25,290.5,304.17,NA,NA,NA
205,387.25,195.62,NA,NA,NA
133,163.5,100.25,NA,NA,NA
66,49.75,86.18,NA,NA,NA
65.25,32.75,45.35,NA,NA,NA
43.5,NA,54.53,NA,NA,NA
56,NA,24.25,NA,NA,NA
16.33,50.67,23.6,NA,NA,NA
51.5,146,27.65,NA,NA,NA
55,112,29.47,NA,NA,NA
64.75,123,59.95,NA,NA,NA
76.5,150.75,153.97,NA,NA,NA
96,191.5,187.6,NA,NA,NA
123.25,259.5,191.77,NA,NA,NA
135.75,288.75,224.7,NA,NA,NA
149.5,292.5,249.52,NA,NA,NA
141,271.5,217.95,NA,NA,NA
140.5,261,211.37,NA,NA,NA
140.25,247,183.25,NA,NA,NA
137.75,237,216.53,NA,NA,NA
153.25,256,214.9,NA,NA,NA
166.5,257.5,250.9,NA,NA,NA
166.5,241.5,204.7,NA,NA,NA
138.25,204.25,243.28,NA,NA,NA
148.5,230.25,232.47,NA,NA,NA
149,247.25,145.52,NA,NA,NA
138.5,221.5,70.77,NA,NA,NA
115.75,201.5,68.3,NA,NA,NA
123.75,223.25,103.62,NA,NA,NA
137.5,240.5,89.63,NA,NA,NA
99.5,166.5,66.35,NA,NA,NA
64.75,112.5,61.7,NA,NA,NA
53,114.75,29.08,NA,NA,NA
61,206,85.18,NA,NA,NA
55.5,177,124.1,NA,NA,NA
70.75,183.75,104.97,NA,NA,NA
62.5,150,72.72,NA,NA,NA
59.25,131.75,81.28,NA,NA,NA
52.25,129.25,92.47,NA,NA,NA
52.5,113.5,104.75,NA,NA,NA
59.25,110.75,81.88,NA,NA,NA
59,117.25,37.3,NA,NA,NA
42.5,93,38.83,NA,NA,NA
39.75,88,73.2,NA,NA,NA
48,97,75.5,NA,NA,NA
52.25,111,60.8,NA,NA,NA
29.5,105,119.93,NA,NA,NA
47,136.5,204.7,NA,NA,NA
79.5,208,91.95,NA,NA,NA
126,277,51.25,NA,NA,NA
123.5,379.5,34.42,NA,NA,NA
113.5,448.5,28.32,NA,NA,NA
109.75,407,26.6,NA,NA,NA
107,304,22.3,NA,NA,NA
79.25,201.5,20.5,NA,NA,NA
64.75,158.5,24.12,NA,NA,NA
56,115.75,21.72,NA,NA,NA
58.25,93.75,36.68,NA,NA,NA
54,90.75,37.5,NA,NA,NA
56.75,93,62.77,NA,NA,NA
67.75,114.5,74.52,NA,NA,NA
90.25,150.75,61.77,NA,NA,NA
115.5,174,55.65,NA,NA,NA
147.75,214,44.9,NA,NA,NA
205.5,308.25,40.9,NA,NA,NA
206,393.25,34.6,NA,NA,NA
214.25,474.25,27.88,NA,NA,NA
205.5,434.75,31.65,NA,NA,NA
189.75,420,50.2,NA,NA,NA
192.75,417,116.75,NA,NA,NA
189.5,372.75,106.77,NA,NA,NA
171.5,323.5,72,NA,NA,NA
241,433.25,57.55,NA,NA,NA
303.5,539.75,45.55,NA,NA,NA
285.75,499,46.95,NA,NA,NA
199,359.25,36.1,NA,NA,NA
111.5,214.25,32.58,NA,NA,NA
95.5,194.75,33.62,NA,NA,NA
86.75,207.5,21.53,NA,NA,NA
81.75,159,21.6,NA,NA,NA
74.75,125,23.5,NA,NA,NA
73,113.5,31.3,NA,NA,NA
66.75,146.5,35.28,NA,NA,NA
68.25,138.5,44.88,NA,NA,NA
79.75,137.5,65.05,NA,NA,NA
111,195.25,149.5,NA,NA,NA
139.75,234.25,248.6,NA,NA,NA
147.5,231.25,288.55,NA,NA,NA
159.75,252.75,277.12,NA,NA,NA
162.5,246.25,258.2,NA,NA,NA
153,233.5,276.45,NA,NA,NA
133.5,232,268.83,NA,NA,NA
113,188,262.78,NA,NA,NA
105,162.25,148.65,NA,NA,NA
102.25,156.5,178.35,NA,NA,NA
114,280,206.83,NA,NA,NA
143.5,224,134.43,NA,NA,NA
170,254.5,56.18,NA,NA,NA
187.75,289.75,34.42,NA,NA,NA
144,218.25,47.4,NA,NA,NA
129.75,183,60.72,NA,NA,NA
116.5,207.75,59.83,NA,NA,NA
79.5,166.25,35.78,NA,NA,NA
79.75,119.5,27.62,NA,NA,NA
79.75,105,27.98,NA,NA,NA
96.75,128.5,26.27,NA,NA,NA
101.25,142,73.3,NA,NA,NA
98.75,177.25,143.48,NA,NA,NA
115.5,258,167.4,NA,NA,NA
148.25,325.5,253.45,NA,NA,NA
177.5,326,291.4,NA,NA,NA
197,310,297.83,NA,NA,NA
201,294,331.4,NA,NA,NA
198.75,300.75,328.08,NA,NA,NA
183.75,274.75,252.97,NA,NA,NA
164,247,243.7,NA,NA,NA
155.25,229.75,199.7,NA,NA,NA
142.5,199.75,162.1,NA,NA,NA
138.25,185,138.48,NA,NA,NA
145.5,200.25,110.93,NA,NA,NA
160,208.5,76.32,NA,NA,NA
189.5,257,63.35,NA,NA,NA
163,246.5,47.65,NA,NA,NA
121.75,215.75,37.62,NA,NA,NA
88.5,179,26.65,NA,NA,NA
64,125.5,30.55,NA,NA,NA
49,104.25,20.97,NA,NA,NA
49.75,111,19.55,NA,NA,NA
51,90.75,21.52,NA,NA,NA
49.75,68.25,25.5,NA,NA,NA
47.25,64.75,32.88,NA,NA,NA
81.75,132.75,131.6,NA,NA,NA
104,196.25,178.25,NA,NA,NA
130,205,142.45,NA,NA,NA
156.75,221.25,168.02,NA,NA,NA
181,264.75,235.95,NA,NA,NA
195.25,298.25,278.7,NA,NA,NA
198,307,278.08,NA,NA,NA
148.25,226.75,118.2,NA,NA,NA
85,136.75,44.13,NA,NA,NA
50.75,90.75,26.7,NA,NA,NA
38.75,73,22.2,NA,NA,NA
51.25,82.25,38.88,NA,NA,NA
57.25,89.25,60,NA,NA,NA
60.75,104.25,48.1,NA,NA,NA
78.75,153.75,60.62,NA,NA,NA
141.75,255.5,56.05,NA,NA,NA
190.25,293.25,68.22,NA,NA,NA
174,268.75,67.65,NA,NA,NA
181.25,289.5,63.38,NA,NA,NA
193,278,47.75,NA,NA,NA
192.25,274,47.55,NA,NA,NA
204.75,308.25,50.82,NA,NA,NA
166.5,255,45.25,NA,NA,NA
156.75,239.25,58.68,NA,NA,NA
197,313.75,172.9,NA,NA,NA
259.75,428,306.33,NA,NA,NA
248.5,397.25,236.1,NA,NA,NA
237.5,368,139.97,NA,NA,NA
136,199.75,97.92,NA,NA,NA
74.5,131,64.92,NA,NA,NA
58.75,118,71.38,NA,NA,NA
44,89.25,73.28,NA,NA,NA
58.25,111.75,143.6,NA,NA,NA
67,127,112.23,NA,NA,NA
71,130.25,125.37,NA,NA,NA
77.75,149.25,63.52,NA,NA,NA
129,NA,48.63,NA,NA,NA
150.25,534.75,63.1,NA,NA,NA
128.5,282.5,70.7,NA,NA,NA
140,309.5,85.75,NA,NA,NA
155.75,341.5,68.25,NA,NA,NA
134.25,295.75,42.02,NA,NA,NA
58.5,218,40.4,NA,NA,NA
49,149.5,28.35,NA,NA,NA
54.25,137.25,26.15,NA,NA,NA
54,135,58,NA,NA,NA
76.5,201,116.78,NA,NA,NA
120.5,293.5,68.75,NA,NA,NA
169.25,393.5,77.42,NA,NA,NA
159,366.75,59.32,NA,NA,NA
144.5,355,72.02,NA,NA,NA
139,348.5,61.3,NA,NA,NA
139,334.75,51.32,NA,NA,NA
143.75,219,44.25,NA,NA,NA
123,209.25,37.05,NA,NA,NA
99.5,203.75,30.7,NA,NA,NA
63.25,182.5,29,NA,NA,NA
NA,81.5,30.73,NA,NA,NA
NA,73.5,23.97,NA,NA,NA
NA,45.25,25.08,NA,NA,NA
NA,57.75,32.9,NA,NA,NA
NA,92.5,39.73,NA,NA,NA
NA,NA,50.12,NA,NA,NA
NA,NA,51.57,NA,NA,NA
NA,NA,46.1,NA,NA,NA
81.75,248,47.98,NA,NA,NA
132.75,282.75,48.72,NA,NA,NA
142.25,265,43.05,NA,NA,NA
162.5,240,38.43,NA,NA,NA
223.75,278.25,50.05,NA,NA,NA
364.5,453.25,53.85,NA,NA,NA
417.25,514.25,59.4,NA,NA,NA
422.5,493.75,85.98,NA,NA,NA
462,544.75,39.4,NA,NA,NA
464.25,580.25,30.75,NA,NA,NA
474,553.75,33.92,NA,NA,NA
419.75,479.75,23.3,NA,NA,NA
385,418.5,52.07,NA,NA,NA
326.75,371,51.73,NA,NA,NA
186,159,30.93,NA,NA,NA
240.75,198.75,31.5,NA,NA,NA
240.5,287.75,31.75,NA,NA,NA
NA,NA,43.47,NA,NA,NA
NA,NA,78.35,NA,NA,NA
NA,NA,62.7,NA,NA,NA
225,321.5,59.05,NA,NA,NA
242.25,350.25,71.67,NA,NA,NA
226.5,378.5,73.15,NA,NA,NA
NA,25.5,61.15,NA,NA,NA
NA,NA,52.1,NA,NA,NA
27.67,37.67,42.55,NA,NA,NA
78,102.25,39.1,NA,NA,NA
89.5,114.25,35.32,NA,NA,NA
79,106.5,39.2,NA,NA,NA
80.5,105,44.5,NA,NA,NA
79.5,108,31.08,NA,NA,NA
82,112,46.68,NA,NA,NA
101.5,131,109.13,NA,NA,NA
131.75,163.25,94.32,NA,NA,NA
140,171.75,170.22,NA,NA,NA
187.75,219.5,162.47,NA,NA,NA
243.25,330.5,44.67,NA,NA,NA
275.25,411.75,63.32,NA,NA,NA
285,413.25,61.13,NA,NA,NA
270,423.25,52.73,NA,NA,NA
331.25,401.5,71.2,NA,NA,NA
380.25,454.5,63.6,NA,NA,NA
370,451.75,51.5,NA,NA,NA
370.25,462.75,56.52,NA,NA,NA
412,510.25,45.7,NA,NA,NA
458.5,563.75,48.88,NA,NA,NA
444.75,428.25,55.4,NA,NA,NA
495.67,523.33,53.93,NA,NA,NA
NA,NA,60,NA,NA,NA
NA,NA,43.67,NA,NA,NA
NA,NA,48.1,NA,NA,NA
63.67,88.67,28.32,NA,NA,NA
176.25,226.5,37.63,NA,NA,NA
166.25,210.25,42.03,NA,NA,NA
156.25,198.5,72.77,NA,NA,NA
130,156.25,112.27,NA,NA,NA
124,144.25,135.95,NA,NA,NA
127.5,148,126,NA,NA,NA
151.75,176.5,229.03,NA,NA,NA
164.25,192,276.75,NA,NA,NA
202.25,272.5,198.33,NA,NA,NA
7.25,37.75,178.55,NA,NA,NA
NA,NA,190.45,NA,NA,NA
155,171.75,169.58,NA,NA,NA
148.75,165.25,136.58,NA,NA,NA
132.5,148.75,125.85,NA,NA,NA
132.75,149,187.4,NA,NA,NA
135.75,147.75,223.25,NA,NA,NA
151.5,217.5,121.52,NA,NA,NA
173.75,420.75,81.45,NA,NA,NA
235,492,57.8,NA,NA,NA
263.25,456.75,45.95,NA,NA,NA
143,310.25,43.07,NA,NA,NA
142.25,295,32.07,NA,NA,NA
164.25,320.25,22.05,NA,NA,NA
141,285,24.05,NA,NA,NA
95.75,265.5,24,NA,NA,NA
120.25,302.5,26.03,NA,NA,NA
143.5,323.75,32.4,NA,NA,NA
153,330,50.05,NA,NA,NA
182.75,437.5,52.65,NA,NA,NA
NA,NA,77.2,NA,NA,NA
NA,NA,120.38,NA,NA,NA
98.5,704,95.7,NA,NA,NA
128.5,347.25,74.48,NA,NA,NA
126.25,302.25,102.25,NA,NA,NA
121.5,336.5,54.9,NA,NA,NA
109.75,287.25,83.65,NA,NA,NA
127,352.75,81.52,NA,NA,NA
158.25,355.5,47.47,NA,NA,NA
185,386.5,61.9,NA,NA,NA
142.25,352.25,74.27,NA,NA,NA
136.5,373.5,45.4,NA,NA,NA
166,425.75,41.62,NA,NA,NA
182.5,388.5,32.85,NA,NA,NA
38.5,178,33.95,NA,NA,NA
NA,111.75,25.63,NA,NA,NA
NA,81.75,27.28,NA,NA,NA
NA,33.5,21.05,NA,NA,NA
NA,NA,15.78,NA,NA,NA
NA,28.75,20.35,NA,NA,NA
NA,74,25.87,NA,NA,NA
NA,NA,34,NA,NA,NA
NA,NA,51.65,NA,NA,NA
24.25,329.75,60.88,NA,NA,NA
75.25,406.25,86,NA,NA,NA
99.25,467.5,93.83,NA,NA,NA
133.25,559.5,117.38,NA,NA,NA
160,666.5,222.73,NA,NA,NA
182,799.75,248.08,NA,NA,NA
188.25,750.25,125.92,NA,NA,NA
159.25,699.25,74.47,NA,NA,NA
145,505.75,59.43,NA,NA,NA
141.75,521.5,93.27,NA,NA,NA
130.75,488.5,89.02,NA,NA,NA
75.25,366.25,50.47,NA,NA,NA
NA,NA,37.5,NA,NA,NA
NA,133.25,32.23,NA,NA,NA
35,304.25,30.78,NA,NA,NA
49.5,350.75,30.27,NA,NA,NA
44,339.5,26.92,NA,NA,NA
11,200,31.05,NA,NA,NA
NA,NA,22.08,NA,NA,NA
1.67,28.67,22.82,NA,NA,NA
46.5,255.75,19.55,NA,NA,NA
107,286.75,27.55,NA,NA,NA
50.25,118.75,27.45,NA,NA,NA
34.75,95.25,41.25,NA,NA,NA
46,113.25,102.42,NA,NA,NA
96.25,208,156.9,NA,NA,NA
191,331.5,220.23,NA,NA,NA
244.5,391.5,270.58,NA,NA,NA
250,405,244.27,NA,NA,NA
179.25,350,123.83,NA,NA,NA
157.75,309.5,28.1,NA,NA,NA
111.75,237,33.97,NA,NA,NA
88.75,216,23.9,NA,NA,NA
61.75,175,22.75,NA,NA,NA
65.75,206.5,17.22,NA,NA,NA
86.75,443.5,17.18,NA,NA,NA
147.75,975,20.92,NA,NA,NA
149.25,757.75,33.58,NA,NA,NA
124.25,473.5,43.57,NA,NA,NA
107.5,352.75,36.18,NA,NA,NA
104.25,329.25,32.38,NA,NA,NA
97.25,319.25,25.47,NA,NA,NA
94.5,279.75,20.12,NA,NA,NA
84.75,186.25,17.38,NA,NA,NA
76,149.5,19.95,NA,NA,NA
57.75,165.5,33.62,NA,NA,NA
45.75,141.25,35.2,NA,NA,NA
46,158,42.45,NA,NA,NA
60.5,193.5,47.27,NA,NA,NA
86,270.5,47.88,NA,NA,NA
109,289.75,29.93,NA,NA,NA
125,263,27.22,NA,NA,NA
123.75,237.5,28.35,NA,NA,NA
91.75,370.25,10.83,NA,NA,NA
91,353.5,29.47,NA,NA,NA
66.5,178.75,35.68,NA,NA,NA
57.75,165,24.98,NA,NA,NA
32.75,104.25,27.35,NA,NA,NA
36.25,106.25,41.05,NA,NA,NA
44.75,127.25,20.7,NA,NA,NA
54,153.25,35.03,NA,NA,NA
86.25,203,56.97,NA,NA,NA
120,112.5,85.35,NA,NA,NA
113.5,189,55.28,NA,NA,NA
106,226.75,47.65,NA,NA,NA
102.5,228,36.4,NA,NA,NA
69.25,179.25,31.85,NA,NA,NA
73.25,192.25,25.53,NA,NA,NA
64.75,190.25,18.28,NA,NA,NA
45,163.25,25.57,NA,NA,NA
174,490.75,66.22,NA,NA,NA
777.5,846.5,89.22,NA,NA,NA
122,264.25,106.6,NA,NA,NA
178,377,110.18,NA,NA,NA
173.75,377.75,80.48,NA,NA,NA
199.25,386,76.85,NA,NA,NA
183.5,342,59.6,NA,NA,NA
180.5,350.75,56.27,NA,NA,NA
190.25,383.5,52.85,NA,NA,NA
173.25,346.75,72.65,NA,NA,NA
208.75,385.5,90.85,NA,NA,NA
NA,58.25,109.43,NA,NA,NA
NA,NA,117.23,NA,NA,NA
86.25,296,101.78,NA,NA,NA
156,370.25,79.7,NA,NA,NA
168.25,353,79.78,NA,NA,NA
153.5,159.25,44.05,NA,NA,NA
102.75,225.5,46.05,NA,NA,NA
78.5,189.25,46.82,NA,NA,NA
68.25,179,35.35,NA,NA,NA
60.5,171.5,46.18,NA,NA,NA
62.5,179,21.95,NA,NA,NA
9,28,25.55,NA,NA,NA
NA,NA,29.38,NA,NA,NA
NA,NA,62.3,NA,NA,NA
NA,NA,86.55,NA,NA,NA
NA,NA,81.42,NA,NA,NA
32.67,85.25,89.08,NA,NA,NA
104,289.5,85.8,NA,NA,NA
119,291.75,65.02,NA,NA,NA
115.75,278,73.2,NA,NA,NA
117.75,293.75,77.9,NA,NA,NA
129.75,302.75,67.6,NA,NA,NA
120.75,285.25,47.38,NA,NA,NA
177.75,329.25,57.43,NA,NA,NA
125.5,279.25,78.15,NA,NA,NA
179.75,340,97.45,NA,NA,NA
260,422.5,110.8,NA,NA,NA
309.5,567.5,111.6,NA,NA,NA
304.25,535.5,87.8,NA,NA,NA
229.25,407,57.42,NA,NA,NA
56,921,61.43,NA,NA,NA
NA,NA,55.6,NA,NA,NA
NA,NA,34.18,NA,NA,NA
NA,NA,40.02,NA,NA,NA
NA,NA,40,NA,NA,NA
NA,NA,36.28,NA,NA,NA
NA,NA,65.85,NA,NA,NA
NA,NA,51.55,NA,NA,NA
17,85.33,26.77,NA,NA,NA
49,460.75,23.67,NA,NA,NA
33,229,49.97,NA,NA,NA
31.5,115.5,91.07,NA,NA,NA
39.25,123.25,72.12,NA,NA,NA
30,93.5,45.67,NA,NA,NA
25.25,80,82.1,NA,NA,NA
42.75,134.25,109.25,NA,NA,NA
53.75,170.75,72.15,NA,NA,NA
57,207.75,33.95,NA,NA,NA
74,485.25,13.82,NA,NA,NA
77.5,500.75,20.73,NA,NA,NA
64.25,371.25,24.78,NA,NA,NA
73,354,52.75,NA,NA,NA
95.75,413.5,39.1,NA,NA,NA
104,322.75,32.75,NA,NA,NA
145.5,430.5,30.67,NA,NA,NA
NA,NA,48.07,NA,NA,NA
NA,NA,38.85,NA,NA,NA
25.75,201.5,34.07,NA,NA,NA
39.75,179,42.1,NA,NA,NA
43.25,167.5,39.7,NA,NA,NA
45.25,153,28.4,NA,NA,NA
50,172.75,48.17,NA,NA,NA
58.25,213,74.65,NA,NA,NA
74.5,268.5,122.98,NA,NA,NA
84.75,357,147.43,NA,NA,NA
104,463.25,200.38,NA,NA,NA
385.25,701,240.08,NA,NA,NA
NA,NA,298.75,NA,NA,NA
NA,207.75,291.67,NA,NA,NA
108,403,197.7,NA,NA,NA
127.5,469,109.9,NA,NA,NA
132,443.75,155.65,NA,NA,NA
142.25,441.25,193.15,NA,NA,NA
150,483.5,187.52,NA,NA,NA
504.75,934.75,37.4,NA,NA,NA
NA,450.75,20.85,NA,NA,NA
11,833,23.12,NA,NA,NA
105.5,729,27.05,NA,NA,NA
94.25,582.75,21.2,NA,NA,NA
88.25,534.25,18.82,NA,NA,NA
100.75,573.75,20,NA,NA,NA
89.5,499.25,31.18,NA,NA,NA
95.5,477.25,32.8,NA,NA,NA
103.25,483.75,44.43,NA,NA,NA
103.5,490,46.8,NA,NA,NA
159.25,545,22.93,NA,NA,NA
NA,NA,76.73,NA,NA,NA
NA,NA,94.85,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,48.9,NA,NA,NA
NA,NA,58.1,NA,NA,NA
NA,NA,50.97,NA,NA,NA
NA,NA,115.17,NA,NA,NA
NA,NA,82.25,NA,NA,NA
NA,NA,102.35,NA,NA,NA
44,168.67,79.82,NA,NA,NA
92.5,414.5,111.95,NA,NA,NA
110.5,443.5,137.92,NA,NA,NA
122,462.25,159.22,NA,NA,NA
148.5,567.75,233.1,NA,NA,NA
185.75,639.25,243.3,NA,NA,NA
194.75,618.5,244.35,NA,NA,NA
209.75,664.25,258.63,NA,NA,NA
230,638.75,207.12,NA,NA,NA
249,715.75,138.97,NA,NA,NA
148,NA,101.15,NA,NA,NA
NA,NA,73.78,NA,NA,NA
27.5,169.75,115.77,NA,NA,NA
40.75,192.75,74.4,NA,NA,NA
65.5,213.75,83.85,NA,NA,NA
87,246,64.82,NA,NA,NA
70,239.5,45.7,NA,NA,NA
62,235.5,34.38,NA,NA,NA
58,203,44.92,NA,NA,NA
72.75,243.75,32.2,NA,NA,NA
80.25,254.25,28.82,NA,NA,NA
62.25,203,26.82,NA,NA,NA
105,487,24.22,NA,NA,NA
201.33,503.75,34.12,NA,NA,NA
85,76.5,57.02,NA,NA,NA
NA,NA,96.02,NA,NA,NA
34,179.5,141.47,NA,NA,NA
83.67,289.5,140.77,NA,NA,NA
